,DIST_NAME,INCOME,,,DIST_NAME_other spreadsheet (MikesData)
238,Phillipsburg Town School District,49274,,,Hopewell Valley Regional School District
239,Pine Hill Borough School District,51286,,,Atlantic City School District
240,Pine Valley Borough School District,51286,,,Paulsboro School District
241,Piscataway Township School District,89617,,,Woodbridge Township School District
242,Pitman Borough School District,73538,,,Long Branch Public School District
243,Pittsgrove Township School District,77537,,,Lakewood Township School District
244,Plainfield City School District,56425,,,Bergen County Vocational Technical School District
245,Pleasantville City School District,39924,,,Garfield Public School District
246,Plumsted Township School District,91438,,,South Orange-Maplewood School District
247,Pohatcong Township School District,74888,,,Newark Public School District
248,Point Pleasant Borough School District,93276,,,Newark Public School District
249,Point Pleasant Beach Borough School District,92991,,,Union County Vocational-Technical School District
250,Pompton Lakes Borough School District,92952,,,Lakewood Township School District
251,Port Republic City School District,101500,,,Area Vocational Technical Schools Of Mercer County
252,Princeton Public Schools,125506,,,Mercer County Special Services School District
253,Quinton Township School District,65515,,,"Kipp: Cooper Norcross, A New Jersey Nonprofit Corporation"
254,Rahway City School District,69813,,,"Camden Prep, Inc."
255,Ramsey Borough School District,137768,,,Paterson Public School District
256,Randolph Township School District,128125,,,Bound Brook School District
257,Hazlet Township School District,94657,,,Bound Brook School District
258,Ridgefield Borough School District,66690,,,Bound Brook School District
259,Ridgefield Park Township School District,72191,,,North Plainfield School District
260,Ridgewood Village School District,162011,,,Long Branch
261,Riverdale Borough School District,100602,,,Bergen County Special Services School District
262,Riverside Township School District,60885,,,Passaic City School District
263,Riverton Borough School District,95288,,,Newark Public School District
264,Rochelle Park Township School District,78333,,,Northern Valley Regional High School District
265,Rockleigh Borough School District,158594,,,Ewing Township School District
266,Roosevelt Borough School District,100694,,,Ewing Township School District
267,Roselle Borough School District,52480,,,Hopewell Valley Regional School District
268,Roselle Park Borough School District,67300,,,Hopewell Valley Regional School District
269,Roxbury Township School District,112625,,,Ewing Township School District
270,Rutherford Borough School District,93787,,,Ewing Township School District
271,Saddle Brook Township School District,94177,,,Newark Public School District
272,Saddle River Borough School District,173333,,,Newark Public School District
273,Salem City School District,25171,,,Westfield Public School District
274,Sayreville Borough School District,79620,,,Upper Freehold Regional School District
275,Scotch Plains-Fanwood Regional School District,121310,,,Trenton Public School District
276,Sea Girt Borough School District,126667,,,Trenton Public School District
277,Sea Isle City School District,72153,,,Jersey City Public Schools
278,Secaucus Town School District,99883,,,Englewood Public School District
279,Somerville Borough School District,72731,,,Greater Egg Harbor Regional High School District
280,South Amboy City School District,65074,,,Pittsgrove Township School District
281,Lake Como Borough School District,74861,,,Paterson Public School District
282,South Bound Brook Borough School District,81545,,,Atlantic County Vocational School District
283,South Brunswick Township School District,113815,,,Buena Regional School District
284,South Hackensack Township School District,65156,,,Pleasantville Public School District
285,South Orange-Maplewood School District,123610,,,Edgewater School District
286,South Plainfield Borough School District,91889,,,Hackensack School District
287,South River Borough School District,62332,,,Midland Park School District
288,Sparta Township School District,133113,,,Pemberton Township School District
289,Spotswood Borough School District,75750,,,Upper Township School District
290,Spring Lake Borough School District,88679,,,Orange Board Of Education School District
291,Spring Lake Heights Borough School District,78829,,,Orange Board Of Education School District
292,Springfield Township School District,110547,,,Newark Public School District
293,Stone Harbor Borough School District,101406,,,Newark Public School District
294,Summit City School District,132443,,,Newark Public School District
