,DISTRICT_CODE,SCHOOL_CODE,SCH_RAT,DIST_RAT,DS_CODE
315,4870,50,12:1,12:1,4870-50
316,5150,50,10:1,10:1,5150-50
317,5150,60,10:1,10:1,5150-60
318,5150,70,9:1,10:1,5150-70
319,5150,80,12:1,10:1,5150-80
320,5150,110,10:1,10:1,5150-110
321,5150,130,11:1,10:1,5150-130
322,5150,150,10:1,10:1,5150-150
323,5160,50,11:1,12:1,5160-50
324,5160,70,11:1,12:1,5160-70
325,5160,80,11:1,12:1,5160-80
326,5160,90,11:1,12:1,5160-90
327,5160,95,11:1,12:1,5160-95
328,5160,100,11:1,12:1,5160-100
329,5330,50,11:1,11:1,5330-50
330,5330,60,11:1,11:1,5330-60
331,5330,70,9:1,11:1,5330-70
332,5410,30,9:1,10:1,5410-30
333,5410,40,11:1,10:1,5410-40
334,5410,50,11:1,10:1,5410-50
335,5410,70,9:1,10:1,5410-70
336,5430,50,13:1,13:1,5430-50
337,5430,55,13:1,13:1,5430-55
338,5430,60,10:1,13:1,5430-60
339,5755,50,11:1,11:1,5755-50
340,5755,60,11:1,11:1,5755-60
341,5755,62,10:1,11:1,5755-62
342,5755,65,11:1,11:1,5755-65
343,5755,70,12:1,11:1,5755-70
344,5755,80,13:1,11:1,5755-80
345,5830,50,13:1,13:1,5830-50
346,5830,60,10:1,13:1,5830-60
347,5830,300,23:1,13:1,5830-300
348,5880,30,9:1,9:1,5880-30
349,5880,50,8:1,9:1,5880-50
350,5920,10,13:1,11:1,5920-10
351,5920,20,12:1,11:1,5920-20
352,5920,25,11:1,11:1,5920-25
353,5920,30,12:1,11:1,5920-30
354,5920,50,11:1,11:1,5920-50
355,200,50,7:1,7:1,200-50
356,380,25,11:1,11:1,380-25
357,475,50,13:1,13:1,475-50
358,475,55,15:1,13:1,475-55
359,475,60,12:1,13:1,475-60
360,475,90,14:1,13:1,475-90
361,475,100,12:1,13:1,475-100
362,600,20,8:1,9:1,600-20
363,600,40,12:1,9:1,600-40
364,600,50,8:1,9:1,600-50
365,600,80,8:1,9:1,600-80
366,600,85,10:1,9:1,600-85
367,605,11,10:1,4:1,605-11
368,605,30,4:1,4:1,605-30
369,605,55,2:1,4:1,605-55
370,610,30,14:1,13:1,610-30
371,610,40,12:1,13:1,610-40
372,620,10,11:1,12:1,620-10
373,620,30,12:1,12:1,620-30
374,620,37,12:1,12:1,620-37
375,620,51,11:1,12:1,620-51
376,830,25,13:1,13:1,830-25
377,840,30,11:1,11:1,840-30
378,840,53,10:1,11:1,840-53
379,840,55,15:1,11:1,840-55
380,840,60,11:1,11:1,840-60
381,1030,30,15:1,12:1,1030-30
382,1030,60,13:1,12:1,1030-60
383,1060,5,12:1,12:1,1060-5
384,1060,7,12:1,12:1,1060-7
385,1060,15,13:1,12:1,1060-15
386,1060,50,11:1,12:1,1060-50
387,1250,60,11:1,11:1,1250-60
388,1280,50,12:1,13:1,1280-50
389,1280,70,12:1,13:1,1280-70
390,1420,30,11:1,13:1,1420-30
391,1420,40,12:1,13:1,1420-40
392,1420,55,14:1,13:1,1420-55
393,1420,57,13:1,13:1,1420-57
394,1420,58,14:1,13:1,1420-58
395,1420,60,12:1,13:1,1420-60
396,1420,65,15:1,13:1,1420-65
397,1420,70,11:1,13:1,1420-70
398,1520,50,13:1,12:1,1520-50
399,1520,55,12:1,12:1,1520-55
400,1520,70,10:1,12:1,1520-70
401,1910,50,11:1,10:1,1910-50
402,2610,40,12:1,11:1,2610-40
403,2610,50,12:1,11:1,2610-50
404,2610,60,13:1,11:1,2610-60
405,2610,70,10:1,11:1,2610-70
406,2850,10,11:1,12:1,2850-10
407,2850,20,9:1,12:1,2850-20
408,2850,50,11:1,12:1,2850-50
409,2850,60,11:1,12:1,2850-60
410,2960,30,8:1,10:1,2960-30
411,2960,40,11:1,10:1,2960-40
412,3010,30,12:1,12:1,3010-30
413,3010,80,11:1,12:1,3010-80
414,3010,90,11:1,12:1,3010-90
415,3010,100,12:1,12:1,3010-100
416,3070,40,11:1,12:1,3070-40
417,3070,50,10:1,12:1,3070-50
418,3080,30,12:1,13:1,3080-30
419,3080,40,15:1,13:1,3080-40
420,3080,45,13:1,13:1,3080-45
421,3080,50,10:1,13:1,3080-50
422,3080,55,13:1,13:1,3080-55
423,3080,60,11:1,13:1,3080-60
424,3080,70,13:1,13:1,3080-70
425,3360,40,11:1,11:1,3360-40
426,3360,60,13:1,11:1,3360-60
427,3360,100,12:1,11:1,3360-100
428,3360,110,9:1,11:1,3360-110
429,3360,115,10:1,11:1,3360-115
430,3360,120,15:1,11:1,3360-120
431,3430,40,10:1,11:1,3430-40
432,3430,50,11:1,11:1,3430-50
433,3430,60,10:1,11:1,3430-60
434,3440,10,10:1,12:1,3440-10
435,3440,45,12:1,12:1,3440-45
436,3440,47,12:1,12:1,3440-47
437,3440,50,11:1,12:1,3440-50
438,3440,55,10:1,12:1,3440-55
439,3440,60,11:1,12:1,3440-60
440,3440,65,14:1,12:1,3440-65
441,3440,75,14:1,12:1,3440-75
442,3540,50,7:1,7:1,3540-50
443,3650,20,11:1,10:1,3650-20
444,3650,30,7:1,10:1,3650-30
445,3650,36,8:1,10:1,3650-36
446,3650,40,7:1,10:1,3650-40
447,3690,50,12:1,13:1,3690-50
448,3690,60,13:1,13:1,3690-60
449,3920,50,10:1,11:1,3920-50
450,3920,60,13:1,11:1,3920-60
451,4050,50,7:1,10:1,4050-50
452,4050,55,10:1,10:1,4050-55
453,4050,85,9:1,10:1,4050-85
454,4050,90,5:1,10:1,4050-90
455,4050,110,10:1,10:1,4050-110
456,4050,130,11:1,10:1,4050-130
457,4050,135,10:1,10:1,4050-135
458,4050,140,11:1,10:1,4050-140
459,4050,300,10:1,10:1,4050-300
460,4050,301,10:1,10:1,4050-301
461,4050,302,10:1,10:1,4050-302
462,4320,50,14:1,14:1,4320-50
463,4450,50,11:1,12:1,4450-50
464,4450,60,15:1,12:1,4450-60
465,4450,70,8:1,12:1,4450-70
466,4460,50,11:1,11:1,4460-50
467,4740,50,10:1,12:1,4740-50
468,4740,55,14:1,12:1,4740-55
469,4930,50,10:1,10:1,4930-50
470,4930,60,9:1,10:1,4930-60
471,4930,70,10:1,10:1,4930-70
472,5010,50,8:1,8:1,5010-50
473,5130,40,11:1,11:1,5130-40
474,5130,60,12:1,11:1,5130-60
475,5720,20,12:1,13:1,5720-20
476,5720,50,13:1,13:1,5720-50
477,5805,53,12:1,13:1,5805-53
478,5805,57,22:1,13:1,5805-57
479,5805,64,13:1,13:1,5805-64
480,5805,65,15:1,13:1,5805-65
481,5805,80,14:1,13:1,5805-80
482,5805,90,13:1,13:1,5805-90
483,5805,120,14:1,13:1,5805-120
484,5805,300,7:1,13:1,5805-300
485,5890,30,8:1,8:1,5890-30
486,150,10,12:1,11:1,150-10
487,150,40,10:1,11:1,150-40
488,150,50,10:1,11:1,150-50
489,190,10,11:1,10:1,190-10
490,190,30,8:1,10:1,190-30
491,260,15,13:1,14:1,260-15
492,260,20,16:1,14:1,260-20
493,260,30,12:1,14:1,260-30
494,330,20,12:1,12:1,330-20
495,340,30,9:1,9:1,340-30
496,340,50,9:1,9:1,340-50
497,390,20,12:1,12:1,390-20
498,390,30,12:1,12:1,390-30
499,390,50,12:1,12:1,390-50
500,580,10,10:1,10:1,580-10
501,680,25,8:1,13:1,680-25
502,680,29,8:1,13:1,680-29
503,680,30,9:1,13:1,680-30
504,680,40,13:1,13:1,680-40
505,680,80,14:1,13:1,680-80
506,680,145,14:1,13:1,680-145
507,680,165,10:1,13:1,680-165
508,680,170,11:1,13:1,680-170
509,680,175,10:1,13:1,680-175
510,680,180,10:1,13:1,680-180
511,680,190,10:1,13:1,680-190
512,680,205,11:1,13:1,680-205
513,680,245,8:1,13:1,680-245
514,680,300,10:1,13:1,680-300
515,680,301,10:1,13:1,680-301
516,680,302,10:1,13:1,680-302
517,680,304,10:1,13:1,680-304
518,680,305,9:1,13:1,680-305
519,680,320,11:1,13:1,680-320
520,680,350,12:1,13:1,680-350
521,680,360,11:1,13:1,680-360
522,700,30,11:1,10:1,700-30
523,700,40,10:1,10:1,700-40
524,800,30,16:1,13:1,800-30
525,800,40,12:1,13:1,800-40
526,800,58,13:1,13:1,800-58
527,800,60,5:1,13:1,800-60
528,800,62,16:1,13:1,800-62
529,800,67,13:1,13:1,800-67
530,800,68,17:1,13:1,800-68
531,800,69,15:1,13:1,800-69
532,800,73,12:1,13:1,800-73
533,800,74,13:1,13:1,800-74
534,800,75,14:1,13:1,800-75
535,800,83,12:1,13:1,800-83
536,800,85,14:1,13:1,800-85
537,800,100,18:1,13:1,800-100
538,800,105,15:1,13:1,800-105
539,800,110,14:1,13:1,800-110
540,800,113,15:1,13:1,800-113
541,800,115,13:1,13:1,800-115
542,800,130,16:1,13:1,800-130
543,880,10,9:1,9:1,880-10
544,940,30,10:1,11:1,940-30
545,940,40,9:1,11:1,940-40
546,940,50,10:1,11:1,940-50
547,940,60,8:1,11:1,940-60
548,940,70,8:1,11:1,940-70
549,940,80,11:1,11:1,940-80
550,940,90,11:1,11:1,940-90
551,1255,50,14:1,14:1,1255-50
552,1720,20,10:1,10:1,1720-20
553,1770,50,9:1,11:1,1770-50
554,1770,160,12:1,11:1,1770-160
555,1770,300,12:1,11:1,1770-300
556,1780,20,13:1,12:1,1780-20
557,1780,35,11:1,12:1,1780-35
558,1780,40,13:1,12:1,1780-40
559,1780,50,13:1,12:1,1780-50
560,1780,55,11:1,12:1,1780-55
561,1780,60,12:1,12:1,1780-60
562,1780,70,14:1,12:1,1780-70
563,1780,85,12:1,12:1,1780-85
564,1780,90,13:1,12:1,1780-90
565,1780,100,12:1,12:1,1780-100
566,1780,180,10:1,12:1,1780-180
567,1799,111,20:1,20:1,1799-111
568,1801,113,18:1,18:1,1801-113
569,1802,112,14:1,14:1,1802-112
570,1880,50,11:1,11:1,1880-50
571,1880,60,8:1,11:1,1880-60
572,1880,80,16:1,11:1,1880-80
573,1880,90,15:1,11:1,1880-90
574,1890,50,10:1,12:1,1890-50
575,1890,60,9:1,12:1,1890-60
576,1890,70,6:1,12:1,1890-70
577,1890,80,7:1,12:1,1890-80
578,1890,90,12:1,12:1,1890-90
579,1890,100,8:1,12:1,1890-100
580,1890,110,9:1,12:1,1890-110
581,1900,50,9:1,12:1,1900-50
582,1900,60,12:1,12:1,1900-60
583,1900,70,15:1,12:1,1900-70
584,1900,80,13:1,12:1,1900-80
585,1900,90,12:1,12:1,1900-90
586,2540,50,11:1,11:1,2540-50
587,2560,60,12:1,12:1,2560-60
588,2670,5,10:1,11:1,2670-5
589,2670,40,13:1,11:1,2670-40
590,2670,50,11:1,11:1,2670-50
591,2670,90,10:1,11:1,2670-90
592,2670,300,14:1,11:1,2670-300
593,2890,50,11:1,11:1,2890-50
594,3110,60,13:1,13:1,3110-60
595,3420,20,11:1,11:1,3420-20
596,3420,30,12:1,11:1,3420-30
597,3770,50,13:1,9:1,3770-50
598,4060,50,13:1,12:1,4060-50
599,4060,55,11:1,12:1,4060-55
600,4060,90,13:1,12:1,4060-90
601,4060,100,11:1,12:1,4060-100
602,4060,104,16:1,12:1,4060-104
603,4060,120,11:1,12:1,4060-120
604,4060,130,11:1,12:1,4060-130
605,4060,140,8:1,12:1,4060-140
606,4060,160,13:1,12:1,4060-160
607,4060,175,12:1,12:1,4060-175
608,4060,180,12:1,12:1,4060-180
609,4110,10,10:1,11:1,4110-10
610,4110,60,13:1,11:1,4110-60
611,4110,70,15:1,11:1,4110-70
