,DIST_NAME,INCOME,,,DIST_NAME_other spreadsheet (MikesData)
253,Quinton Township School District,65515,,,Oakland Public School District
254,Rahway City School District,69813,,,Oakland Public School District
255,Ramsey Borough School District,137768,,,Oakland Public School District
256,Randolph Township School District,128125,,,Oakland Public School District
257,Hazlet Township School District,94657,,,Old Tappan Public School District
258,Ridgefield Borough School District,66690,,,Old Tappan Public School District
259,Ridgefield Park Township School District,72191,,,Oradell Public School District
260,Ridgewood Village School District,162011,,,Palisades Park School District
261,Riverdale Borough School District,100602,,,Palisades Park School District
262,Riverside Township School District,60885,,,Paramus Public School District
263,Riverton Borough School District,95288,,,Paramus Public School District
264,Rochelle Park Township School District,78333,,,Margate City School District
265,Rockleigh Borough School District,158594,,,Mullica Township School District
266,Roosevelt Borough School District,100694,,,Mullica Township School District
267,Roselle Borough School District,52480,,,Northfield City School District
268,Roselle Park Borough School District,67300,,,Northfield City School District
269,Roxbury Township School District,112625,,,Pleasantville Public School District
270,Rutherford Borough School District,93787,,,Pleasantville Public School District
271,Saddle Brook Township School District,94177,,,Pleasantville Public School District
272,Saddle River Borough School District,173333,,,Pleasantville Public School District
273,Salem City School District,25171,,,Pleasantville Public School District
274,Sayreville Borough School District,79620,,,Pleasantville Public School District
275,Scotch Plains-Fanwood Regional School District,121310,,,Port Republic School District
276,Sea Girt Borough School District,126667,,,Somers Point School District
277,Sea Isle City School District,72153,,,Somers Point School District
278,Secaucus Town School District,99883,,,Ventnor City School District
279,Somerville Borough School District,72731,,,Ventnor City School District
280,South Amboy City School District,65074,,,Weymouth Township School District
281,Lake Como Borough School District,74861,,,Franklin Lakes School District
282,South Bound Brook Borough School District,81545,,,Garfield Public School District
283,South Brunswick Township School District,113815,,,Palisades Park School District
284,South Hackensack Township School District,65156,,,Waldwick School District
285,South Orange-Maplewood School District,123610,,,Bordentown Regional School District
286,South Plainfield Borough School District,91889,,,Lenape Regional High School District
287,South River Borough School District,62332,,,Lumberton Township Board Of Education
288,Sparta Township School District,133113,,,Mansfield Township School District
289,Spotswood Borough School District,75750,,,Medford Township School District
290,Spring Lake Borough School District,88679,,,Medford Township School District
291,Spring Lake Heights Borough School District,78829,,,Camden City School District
292,Springfield Township School District,110547,,,Orange Board Of Education School District
293,Stone Harbor Borough School District,101406,,,Essex Regional Educational Services Commission
294,Summit City School District,132443,,,Swedesboro-Woolwich School District
295,Teaneck Township School District,106411,,,Jersey City Public Schools
296,Tenafly Borough School District,153906,,,Jersey City Public Schools
297,Toms River Regional School District,75500,,,Union City School District
298,Trenton City School District,35524,,,Union City School District
299,Union Beach Borough School District,77324,,,West New York Board Of Education
300,Union City School District,43424,,,Flemington-Raritan Regional School District
301,Barnegat Township School District,69877,,,Hunterdon County Educational Services Commission
302,Union Township School District,79324,,,Fairfield Township School District
303,Upper Freehold Regional School District,123375,,,Deptford Township Public School District
304,Upper Pittsgrove Township School District,95489,,,Hunterdon County Vocational School District
305,Upper Township School District,81541,,,Tewksbury Township School District
