,DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,GRADESPAN,DS_CODE
733,410,BLOOMFIELD TWP,150,WATSESSING ELEMENTARY SCHOOL,KG-06,410-150
734,660,CALDWELL-WEST CALDWELL,50,JAMES CALDWELL HIGH SCHOOL,09-12,660-50
735,660,CALDWELL-WEST CALDWELL,60,GROVER CLEVELAND MIDDLE SCHOOL,06-08,660-60
736,660,CALDWELL-WEST CALDWELL,70,JEFFERSON ELEMENTARY SCHOOL,KG-05,660-70
737,660,CALDWELL-WEST CALDWELL,80,LINCOLN ELEMENTARY SCHOOL,KG-05,660-80
738,660,CALDWELL-WEST CALDWELL,110,WASHINGTON ELEMENTARY SCHOOL,KG-05,660-110
739,660,CALDWELL-WEST CALDWELL,120,WILSON ELEMENTARY SCHOOL,KG-05,660-120
740,660,CALDWELL-WEST CALDWELL,300,HARRISON SCHOOL,PK-KG,660-300
741,760,CEDAR GROVE TWP,50,CEDAR GROVE HIGH SCHOOL,09-12,760-50
742,760,CEDAR GROVE TWP,58,MEMORIAL MIDDLE SCHOOL,05-08,760-58
743,760,CEDAR GROVE TWP,60,NORTH END ELEMENTARY SCHOOL,PK-04,760-60
744,760,CEDAR GROVE TWP,90,SOUTH END ELEMENTARY SCHOOL,PK-04,760-90
745,1210,EAST ORANGE,30,EAST ORANGE STEM ACADEMY HIGH SCHOOL,06-12,1210-30
746,1210,EAST ORANGE,35,EAST ORANGE CAMPUS HIGH SCHOOL,09-12,1210-35
747,1210,EAST ORANGE,50,"EDWARD T. BOWSER, SR. SCHOOL OF EXCELLENCE",PK-05,1210-50
748,1210,EAST ORANGE,60,GEORGE WASHINGTON CARVER INSTITUTE,PK-05,1210-60
749,1210,EAST ORANGE,70,JOHN L. COSTLEY MIDDLE SCHOOL,06-08,1210-70
750,1210,EAST ORANGE,80,LANGSTON HUGHES ELEMENTARY SCHOOL,PK-05,1210-80
751,1210,EAST ORANGE,90,WHITNEY E. HOUSTON ACADEMY,PK-08,1210-90
752,1210,EAST ORANGE,93,BENJAMIN BANNEKER ACADEMY,PK-05,1210-93
753,1210,EAST ORANGE,95,PATRICK F. HEALY MIDDLE SCHOOL,06-08,1210-95
754,1210,EAST ORANGE,100,MILDRED BARRY GARVIN ELEMENTARY,PK-05,1210-100
755,1210,EAST ORANGE,107,ALTHEA GIBSON ACADEMY,PK-KG,1210-107
756,1210,EAST ORANGE,110,DIONNE WARWICK INSTITUTE,PK-05,1210-110
757,1210,EAST ORANGE,120,ECOLE TOUSSAINT LOUVERTURE,PK-05,1210-120
758,1210,EAST ORANGE,130,GORDON PARKS ACADEMY,PK-05,1210-130
759,1210,EAST ORANGE,135,SOJOURNER TRUTH MIDDLE SCHOOL,06-08,1210-135
760,1210,EAST ORANGE,140,CICELY L. TYSON COMMUNITY ELEMENTARY SCHOOL,PK-05,1210-140
761,1210,EAST ORANGE,150,CICELY L. TYSON COMMUNITY MIDDLE/HIGH SCHOOL,06-12,1210-150
762,1210,EAST ORANGE,170,J. GARFIELD JACKSON SR. ACADEMY,KG-05,1210-170
763,1210,EAST ORANGE,190,JOHNNIE L. COCHRAN JR. ACADEMY,KG-05,1210-190
764,1210,EAST ORANGE,210,WAHLSTROM EARLY CHILDHOOD ACADEMY,PK-KG,1210-210
765,1387,ESSEX CO ED SERV COMM,20,ESSEX CAMPUS ACADEMY,07-12,1387-20
766,1387,ESSEX CO ED SERV COMM,30,ESSEX HIGH SCHOOL,07-12,1387-30
767,1387,ESSEX CO ED SERV COMM,40,ESSEX JUNIOR ACADEMY,01-12,1387-40
768,1390,ESSEX CO VOC-TECH,20,BLOOMFIELD TECH,09-12,1390-20
769,1390,ESSEX CO VOC-TECH,50,NORTH 13TH ST TECH,09-12,1390-50
770,1390,ESSEX CO VOC-TECH,70,NEWARK TECH,09-12,1390-70
771,1390,ESSEX CO VOC-TECH,80,WEST CALDWELL TECH,09-12,1390-80
772,1400,ESSEX FELLS BORO,50,ESSEX FELLS ELEMENTARY SCHOOL,PK-06,1400-50
773,1465,FAIRFIELD TWP,5,ADLAI E. STEVENSON,PK-03,1465-5
774,1465,FAIRFIELD TWP,30,CHURCHILL,04-06,1465-30
775,1750,GLEN RIDGE BORO,50,GLEN RIDGE HIGH SCHOOL,07-12,1750-50
776,1750,GLEN RIDGE BORO,70,FOREST AVENUE SCHOOL,PK-02,1750-70
777,1750,GLEN RIDGE BORO,75,RIDGEWOOD AVENUE SCHOOL,03-06,1750-75
778,1750,GLEN RIDGE BORO,80,LINDEN AVENUE SCHOOL,PK-02,1750-80
779,2330,IRVINGTON TOWNSHIP,50,IRVINGTON HIGH SCHOOL,09-12,2330-50
780,2330,IRVINGTON TOWNSHIP,71,AUGUSTA PRESCHOOL ACADEMY,PK-PK,2330-71
781,2330,IRVINGTON TOWNSHIP,80,BERKELEY TERRACE ELEMENTARY SCHOOL,PK-05,2330-80
782,2330,IRVINGTON TOWNSHIP,90,CHANCELLOR AVENUE ELEMENTARY SCHOOL,KG-05,2330-90
783,2330,IRVINGTON TOWNSHIP,100,FLORENCE AVENUE ELEMENTARY SCHOOL,KG-05,2330-100
784,2330,IRVINGTON TOWNSHIP,110,GROVE STREET ELEMENTARY SCHOOL,PK-05,2330-110
785,2330,IRVINGTON TOWNSHIP,120,MADISON AT CHANCELLOR SOUTH,PK-05,2330-120
786,2330,IRVINGTON TOWNSHIP,125,THURGOOD MARSHALL ELEMENTARY SCHOOL,PK-05,2330-125
787,2330,IRVINGTON TOWNSHIP,131,MT. VERNON AVENUE ELEMENTARY SCHOOL,PK-05,2330-131
788,2330,IRVINGTON TOWNSHIP,135,UNIVERSITY MIDDLE SCHOOL,06-08,2330-135
789,2330,IRVINGTON TOWNSHIP,136,UNIVERSITY ELEMENTARY SCHOOL,KG-05,2330-136
790,2330,IRVINGTON TOWNSHIP,140,UNION AVENUE MIDDLE SCHOOL,06-08,2330-140
791,2730,LIVINGSTON TWP,50,LIVINGSTON HIGH SCHOOL,09-12,2730-50
792,2730,LIVINGSTON TWP,55,HERITAGE MIDDLE SCHOOL,07-08,2730-55
793,2730,LIVINGSTON TWP,60,MOUNT PLEASANT MIDDLE SCHOOL,06-06,2730-60
794,2730,LIVINGSTON TWP,70,BURNET HILL ELEMENTARY SCHOOL,PK-05,2730-70
795,2730,LIVINGSTON TWP,80,COLLINS ELEMENTARY SCHOOL,KG-05,2730-80
796,2730,LIVINGSTON TWP,90,HARRISON ELEMENTARY SCHOOL,KG-05,2730-90
797,2730,LIVINGSTON TWP,100,HILLSIDE ELEMENTARY SCHOOL,KG-05,2730-100
798,2730,LIVINGSTON TWP,110,MOUNT PLEASANT ELEMENTARY SCHOOL,KG-05,2730-110
799,2730,LIVINGSTON TWP,118,RIKER HILL ELEMENTARY SCHOOL,KG-05,2730-118
800,3190,MILLBURN TWP,50,MILLBURN HIGH SCHOOL,09-12,3190-50
801,3190,MILLBURN TWP,60,MILLBURN MIDDLE SCHOOL,06-08,3190-60
802,3190,MILLBURN TWP,65,DEERFIELD SCHOOL,KG-04,3190-65
803,3190,MILLBURN TWP,70,GLENWOOD SCHOOL,KG-04,3190-70
804,3190,MILLBURN TWP,80,HARTSHORN SCHOOL,KG-04,3190-80
805,3190,MILLBURN TWP,100,SOUTH MOUNTAIN SCHOOL,PK-04,3190-100
806,3190,MILLBURN TWP,120,WYOMING SCHOOL,KG-04,3190-120
807,3190,MILLBURN TWP,300,WASHINGTON SCHOOL,05-05,3190-300
808,3310,MONTCLAIR TOWN,50,MONTCLAIR HIGH SCHOOL,09-12,3310-50
809,3310,MONTCLAIR TOWN,60,CHARLES H. BULLOCK SCHOOL,KG-05,3310-60
810,3310,MONTCLAIR TOWN,100,BRADFORD ELEMENTARY SCHOOL,PK-05,3310-100
811,3310,MONTCLAIR TOWN,110,EDGEMONT ELEMENTARY SCHOOL,KG-05,3310-110
812,3310,MONTCLAIR TOWN,116,GLENFIELD MIDDLE SCHOOL,06-08,3310-116
813,3310,MONTCLAIR TOWN,123,HILLSIDE ELEMENTARY SCHOOL,PK-05,3310-123
814,3310,MONTCLAIR TOWN,127,BUZZ ALDRIN MIDDLE SCHOOL,06-08,3310-127
815,3310,MONTCLAIR TOWN,130,NISHUANE ELEMENTARY SCHOOL,KG-02,3310-130
816,3310,MONTCLAIR TOWN,140,NORTHEAST ELEMENTARY SCHOOL,KG-05,3310-140
817,3310,MONTCLAIR TOWN,165,RENAISSANCE MIDDLE SCHOOL AT THE RAND BUILDING,06-08,3310-165
818,3310,MONTCLAIR TOWN,170,WATCHUNG ELEMENTARY SCHOOL,KG-05,3310-170
819,3570,NEWARK CITY,2,UPLIFT ACADEMY,08-12,3570-2
820,3570,NEWARK CITY,3,NEWARK INNOVATION ACADEMY,09-12,3570-3
821,3570,NEWARK CITY,4,NJ REGIONAL DAY SCHOOL - NEWARK,PK-12,3570-4
822,3570,NEWARK CITY,10,ARTS HIGH SCHOOL,07-12,3570-10
823,3570,NEWARK CITY,20,BARRINGER ARTS HIGH SCHOOL,09-12,3570-20
824,3570,NEWARK CITY,30,CENTRAL HIGH SCHOOL,09-12,3570-30
825,3570,NEWARK CITY,40,EAST SIDE HIGH SCHOOL,09-12,3570-40
826,3570,NEWARK CITY,50,MALCOLM X SHABAZZ HIGH SCHOOL,09-12,3570-50
827,3570,NEWARK CITY,55,SCIENCE PARK HIGH SCHOOL,07-12,3570-55
828,3570,NEWARK CITY,56,TECHNOLOGY HIGH SCHOOL,09-12,3570-56
829,3570,NEWARK CITY,57,UNIVERSITY HIGH SCHOOL,07-12,3570-57
830,3570,NEWARK CITY,70,WEEQUAHIC HIGH SCHOOL,09-12,3570-70
