GEO.id,,GEO.display-label,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13
Id,,Geography,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars)
8600000US08095,,ZCTA5 08095,-,**,-,**,-,**,-,**
8600000US08096,,ZCTA5 08096,68785,2918,85988,6600,105774,3915,41142,4753
8600000US08097,,ZCTA5 08097,79281,6495,83500,19181,99886,9783,40662,17236
8600000US08098,,ZCTA5 08098,85218,11093,107716,9673,112546,7981,48050,6943
8600000US08102,,ZCTA5 08102,20529,3312,24440,2817,42734,29109,11708,5713
8600000US08103,,ZCTA5 08103,22500,6078,30549,8153,37500,24240,18280,1914
8600000US08104,,ZCTA5 08104,22289,2611,27048,3752,44531,8188,15261,2118
8600000US08105,,ZCTA5 08105,34750,4816,36066,2235,49306,11301,17310,5192
8600000US08106,,ZCTA5 08106,74866,9567,98375,8404,109272,5999,44167,7273
8600000US08107,,ZCTA5 08107,54736,3443,76667,8480,98750,10523,35702,2965
8600000US08108,,ZCTA5 08108,88937,6803,111349,7378,123834,5628,51327,4373
8600000US08109,,ZCTA5 08109,68567,4069,79707,6129,93364,4760,33316,6230
8600000US08110,,ZCTA5 08110,65648,7337,70883,8122,89411,7344,37917,11910
8600000US08201,,ZCTA5 08201,58125,8876,63355,10889,73464,9871,41182,6367
8600000US08202,,ZCTA5 08202,87273,10100,106979,23354,133250,31741,57596,12335
8600000US08203,,ZCTA5 08203,65724,6858,85909,10353,95000,7444,39844,6531
8600000US08204,,ZCTA5 08204,67186,3502,83270,3408,88046,5277,32127,4309
8600000US08205,,ZCTA5 08205,63194,4597,74459,7711,91347,5954,41354,6425
8600000US08210,,ZCTA5 08210,70009,4704,80461,9528,84402,7362,42794,5460
8600000US08212,,ZCTA5 08212,46964,6280,85000,25165,88750,19230,36250,6650
8600000US08215,,ZCTA5 08215,63724,5514,74360,12114,91821,8811,42000,7495
8600000US08217,,ZCTA5 08217,-,**,-,**,-,**,-,**
8600000US08221,,ZCTA5 08221,91861,6903,115057,8179,123958,9601,40250,4432
8600000US08223,,ZCTA5 08223,73696,8698,84722,15617,98594,20179,33056,10880
8600000US08224,,ZCTA5 08224,61974,9684,70000,17388,78438,8557,48864,8694
8600000US08225,,ZCTA5 08225,73586,6898,89375,12712,101188,8741,45197,7473
8600000US08226,,ZCTA5 08226,72715,7038,98424,9385,113448,5705,39497,6806
8600000US08230,,ZCTA5 08230,81698,11119,98321,7511,110156,19932,25046,9134
8600000US08232,,ZCTA5 08232,40196,4317,48228,3675,62676,5070,23903,4536
8600000US08234,,ZCTA5 08234,78324,6420,94847,9081,114315,7129,39693,4221
8600000US08240,,ZCTA5 08240,-,**,-,**,-,**,-,**
8600000US08241,,ZCTA5 08241,102375,17336,114792,21413,120536,22257,56000,32120
8600000US08242,,ZCTA5 08242,53496,11462,62532,18604,65183,14287,42143,22108
8600000US08243,,ZCTA5 08243,72153,10751,104792,14669,110250,19133,39336,3000
8600000US08244,,ZCTA5 08244,52767,4361,66351,12466,88546,10175,35694,3828
8600000US08246,,ZCTA5 08246,-,**,-,**,-,**,-,**
8600000US08247,,ZCTA5 08247,101484,6450,118958,10178,125156,9994,65833,17202
8600000US08248,,ZCTA5 08248,222031,99418,225208,91190,-,**,-,**
8600000US08251,,ZCTA5 08251,49184,4414,57381,6562,65389,4042,34352,8983
8600000US08260,,ZCTA5 08260,45471,3879,57014,8069,61362,6090,31230,4226
8600000US08270,,ZCTA5 08270,63471,5195,77411,9868,91192,6059,32870,7146
8600000US08302,,ZCTA5 08302,46862,4792,53393,3426,74482,6293,24536,3070
8600000US08310,,ZCTA5 08310,61458,14767,75104,20327,75573,18530,35750,11248
8600000US08311,,ZCTA5 08311,69444,14720,69167,25003,76146,12255,49583,45025
8600000US08312,,ZCTA5 08312,63698,14529,81609,9493,94636,23342,35914,7669
8600000US08314,,ZCTA5 08314,72083,38414,73558,52618,76875,62209,-,**
8600000US08316,,ZCTA5 08316,44519,41368,44135,35334,-,**,-,**
8600000US08317,,ZCTA5 08317,79363,14129,99688,27377,105333,13023,47667,44843
8600000US08318,,ZCTA5 08318,79692,7140,99331,8337,110815,4996,44470,6308
8600000US08319,,ZCTA5 08319,95662,8488,101016,8420,107604,7871,36875,34897
8600000US08320,,ZCTA5 08320,-,**,-,**,-,**,-,**
8600000US08321,,ZCTA5 08321,24773,10159,29750,3758,29875,3534,20000,9886
8600000US08322,,ZCTA5 08322,83596,6217,96660,6786,104080,5911,33426,9636
8600000US08323,,ZCTA5 08323,71250,8358,84167,9460,91667,16647,40000,5796
8600000US08324,,ZCTA5 08324,88571,44382,89732,52739,89732,55046,25938,17986
8600000US08326,,ZCTA5 08326,67958,13986,81218,10764,82778,13406,41691,25176
8600000US08327,,ZCTA5 08327,89167,16420,89219,12417,89531,11814,89063,59495
8600000US08328,,ZCTA5 08328,65288,33188,71813,30024,77031,29783,43571,28401
8600000US08329,,ZCTA5 08329,93098,44468,93750,42679,-,**,-,**
8600000US08330,,ZCTA5 08330,64266,3547,77126,5845,93630,12303,40199,4289
8600000US08332,,ZCTA5 08332,50220,3018,60960,2792,82248,7053,31020,6264
8600000US08340,,ZCTA5 08340,97583,58558,99917,80013,158875,62668,-,**
8600000US08341,,ZCTA5 08341,33470,7047,48889,17755,58827,23399,18118,3391
8600000US08343,,ZCTA5 08343,105329,11882,116944,12519,125729,12827,49250,26431
8600000US08344,,ZCTA5 08344,68405,6499,82261,11046,95644,8556,41921,9395
8600000US08345,,ZCTA5 08345,56339,8648,62500,3884,62212,13713,25625,16653
8600000US08346,,ZCTA5 08346,37074,31785,-,**,-,**,-,**
8600000US08348,,ZCTA5 08348,56838,23172,78750,7934,-,**,55368,40165
8600000US08349,,ZCTA5 08349,34821,6541,58276,13796,63063,8113,21202,1664
8600000US08350,,ZCTA5 08350,58077,10939,57318,21544,-,**,58846,49080
8600000US08352,,ZCTA5 08352,68500,9380,76842,12342,96750,37164,-,**
8600000US08353,,ZCTA5 08353,54375,10731,68472,20977,68750,32444,29375,7322
8600000US08360,,ZCTA5 08360,47098,4375,53001,3528,70247,7474,25311,3646
8600000US08361,,ZCTA5 08361,76237,7396,88501,4129,106185,9699,30145,9598
8600000US08401,,ZCTA5 08401,26006,1641,30844,2736,44149,3285,18367,1400
8600000US08402,,ZCTA5 08402,69896,8597,107500,13062,112143,13390,40022,6248
8600000US08403,,ZCTA5 08403,118393,18841,153021,20054,155227,12120,52083,17669
8600000US08406,,ZCTA5 08406,52799,5151,66854,6589,91774,16844,38802,6312
8600000US08501,,ZCTA5 08501,116895,8801,132794,11447,147832,13179,67656,11814
8600000US08502,,ZCTA5 08502,182837,18349,192857,16882,206806,17214,81125,71770
8600000US08505,,ZCTA5 08505,88865,3797,108248,5256,128831,9503,59815,9749
8600000US08510,,ZCTA5 08510,150050,28577,155167,11385,156521,11134,-,**
8600000US08511,,ZCTA5 08511,79583,19998,90250,18920,94500,41744,48000,23181
8600000US08512,,ZCTA5 08512,83958,7387,112866,22565,130667,13486,53571,18626
8600000US08514,,ZCTA5 08514,90104,24254,121815,18515,130521,13401,55574,13668
8600000US08515,,ZCTA5 08515,142197,15979,147875,16229,160347,19776,55521,14871
8600000US08518,,ZCTA5 08518,61500,9905,90682,29086,112500,12901,38750,5872
8600000US08520,,ZCTA5 08520,87401,5972,100666,6873,112467,10593,49583,16420
